,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
0,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,"Full furnish, bawa koper aja Rumah di Kota baru parahyangan nego yuk","Kota Baru Parahyangan, Bandung",2,1,1,LT : 72 m²,LB : 50 m²
1,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Baru Unfurnished SHM di Sariwangi, Bandung","Sariwangi, Bandung",2,1,1,LT : 70 m²,LB : 80 m²
2,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,"New Scandinavian 2lt Kiara Sari Asri, dkt Samsat Soetta & Tol Buahbatu!","Buah Batu, Bandung",3,2,1,LT : 60 m²,LB : 70 m²
3,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,Rumah View Danau di Podomoro Park Bandung,"Podomoro Park Bandung, Bandung",2,3,1,LT : 90 m²,LB : 94 m²
4,"Rp 4,9 Miliar",Cicilan: 18 Jutaan per bulan,Rumah Baru Lux Cantik di Singgasana Pradana Lokasi Favorit,"Singgasana, Bandung",4,4,0,LT : 200 m²,LB : 300 m²
5,"Rp 5,2 Miliar",Cicilan: 19 Jutaan per bulan,Rumah Cantik Terbaru di Summarecon Bandung Cluster Hillary,"Summarecon Bandung, Bandung",3,3,0,LT : 240 m²,LB : 169 m²
6,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Baru Turangga Sayap Karawitan Kota Bandung Dekat SMAN 8,"Turangga, Bandung",4,3,1,LT : 100 m²,LB : 170 m²
7,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,Rumah minimalis paling laris di margahayu dekat griya,"Ciwastra, Bandung",2,1,1,LT : 72 m²,LB : 50 m²
8,"Rp 1,25 Miliar",Cicilan: 4 Jutaan per bulan,Dijual Rumah Townhouse dekat Golf Timur Arcamanik Full Furnish,No Data,3,2,1,LT : 115 m²,LB : 120 m²
9,Rp 12 Miliar,Cicilan: 44 Jutaan per bulan,Dijual Cepat Rumah Induk+kosn Aktif 23 Kamar di Tubagus Ismail,"Tubagus Ismail, Bandung",27,27,10,LT : 730 m²,LB : 600 m²
10,"Rp 8,9 Miliar",Cicilan: 33 Jutaan per bulan,Rumah Hook Mediterania di Geger Kalong Cocok Untuk Tinggal/Invest,"Geger Kalong, Bandung",5,3,5,LT : 488 m²,LB : 600 m²
11,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,Dijual Cepat Rumah Asri Hitung Tanah Murah Dikomp.elit Setrasari ,"Setra Sari, Bandung",8,5,4,LT : 750 m²,LB : 500 m²
12,"Rp 4,3 Miliar",Cicilan: 15 Jutaan per bulan,"Rumah Baru di Singgasana Pradana, Bandung","Mekar Wangi, Bandung",4,3,2,LT : 200 m²,LB : 235 m²
13,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Siap Huni di Kawasan Elit Mekarwangi Singgasana,"Bandung Kota, Bandung",7,4,2,LT : 322 m²,LB : 300 m²
14,"Rp 2,35 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Minimalis 2 Lantai  Jalan Kembar  Bandung,"Moch Toha, Bandung",3,3,2,LT : 137 m²,LB : 165 m²
15,Rp 295 Juta,Cicilan: 1 Jutaan per bulan,Jual RUMAH MURAH MODERN DEKAT GERBANG TOL BUAH BATU BANDUNG,"Bojongsoang, Bandung",2,1,1,LT : 70 m²,LB : 50 m²
16,Rp 245 Juta,Cicilan: 911 Ribuan per bulan,JUAL RUMAH READY & INDENT TERMURAH DI BANDUNG DEKAT KE TOL ,"Batununggal, Bandung",2,1,1,LT : 60 m²,LB : 36 m²
17,"Rp 2,98 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Kota Baru Parahyangan Tatar Jingganegara 2 Lantai SHM Hadap Selatan Baru,"Padalarang, Bandung",3,2,1,LT : 125 m²,LB : 168 m²
18,Rp 25 Miliar,Cicilan: 92 Jutaan per bulan,Rumah Mewah Asri Terawat Di Sayap Ciumbuleuit Bandung Dekat Unpar,"Ciumbuleuit, Bandung",5,4,6,LT : 1085 m²,LB : 768 m²
19,"Rp 2,75 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Modern Minimalis Nyaman di Istana Sudirman Regency,"Cijerah, Bandung",4,3,1,LT : 155 m²,LB : 200 m²
20,"Rp 8,5 Miliar",Cicilan: 31 Jutaan per bulan,"Turun Harga! Luxury Home At Setra Duta, Bandung","Setra Duta, Bandung",4,5,4,LT : 300 m²,LB : 600 m²
21,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,RUMAH MINIMALIS CIGADUNG Cibeunying Kaler Dekat SALMAN AL FARISI DAGO Bandung,"Cigadung, Bandung",4,3,1,LT : 180 m²,LB : 280 m²
22,"Rp 1,85 Miliar",Cicilan: 6 Jutaan per bulan,Cimahi Kota Mas Bandung Barat Perumahan Kota Mas Cimahi Jual Cepat Nego Sampe Deal,"Bandung Barat, Bandung",4,3,2,LT : 138 m²,LB : 200 m²
23,"Rp 9,9 Miliar",Cicilan: 36 Jutaan per bulan,Di  rumah strategis main road untuk usaha di jalan riau,"Riau, Bandung",15,6,6,LT : 543 m²,LB : 450 m²
24,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,Dijual Cepat Rumah Asri di Dago Tea House Bukit Dago Selatan Bdg,"Dago, Bandung",6,4,3,LT : 705 m²,LB : 276 m²
25,"Rp 1,02 Miliar",Cicilan: 3 Jutaan per bulan,Investasi Cerdas Rumah Mewah Dekat Pusat Kota!,"Andir, Bandung",3,3,1,LT : 52 m²,LB : 78 m²
26,Rp 920 Juta,Cicilan: 3 Jutaan per bulan,Rumah Harga dibawah NJOP Margahayu Raya Belakang Superindo Griya,"Margahayu, Bandung",4,3,2,LT : 105 m²,LB : 160 m²
27,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Cepat Rumah  Taman Sakura Pratista  10 menit ke Tol Pasko,"Pasir Koja, Bandung",3,2,2,LT : 180 m²,LB : 120 m²
28,Rp 29 Miliar,Cicilan: 107 Jutaan per bulan,Turun Harga! Rumah Ex Cafe Lokasi Strategis Sayap Dago,"Sayap Dago, Bandung",7,11,22,LT : 1000 m²,LB : 840 m²
29,"Rp 1,51 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Murah Asri Mewah 2 Lantai di Kalasan, Cimahi, Bandung","Cimahi, Bandung",3,3,1,LT : 61 m²,LB : 86 m²
30,Rp 37 Miliar,Cicilan: 137 Jutaan per bulan,Rumah Modern Cantik Termurah di Hegarmanah Bandung Kota,"Cidadap, Bandung",4,3,8,LT : 1345 m²,LB : 343 m²
31,"Rp 2,25 Miliar",Cicilan: 8 Jutaan per bulan,ALL-IN!! Rumah Lux 2lt Siap Huni di Area Kembar Pasirluyu BKR Puskot Bandung!,"BKR, Bandung",4,4,2,LT : 107 m²,LB : 160 m²
32,Rp 421 Juta,Cicilan: 1 Jutaan per bulan,Rumah Baru Minimalis di Rancaekek Dekat Tol Cileunyi Bisa KPR,"Rancaekek, Bandung",2,1,1,LT : 60 m²,LB : 36 m²
